Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
POPR4,"10,17","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,66%","5,65%","1,08","15,25%","19,93%","0,00","545.803.000,00","0,82","30,93%"
MNSA3,"0,42","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
IVTT3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-0,40%","0,00","1.083.050.000,00","0,00","20,67%"
MNSA4,"0,47","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
PORP4,"2,40","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,08%","0,00","22.399.000,00","0,00","13,66%"
CLAN3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-1,05%","0,00","1.012.240.000,00","0,00","-63,96%"
CSTB4,"147,69","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
CSTB3,"150,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
CFLU4,"1.000,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,88%","10,72%","1,10","17,68%","32,15%","0,00","60.351.000,00","0,06","8,14%"
PMET3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,10%","0,00","-290.863.000,00","0,00","37,74%"
GNDI3,"66,95","-3.584,82","5,84","3,423","2,39%","2,378","79,65","87,05","-6,21","91,13","50,88","3,93%","-0,09%","1,17","3,09%","-0,16%","0,00","7.116.080.000,00","0,53","25,23%"
POSI3,"4,11","-1.471,71","0,37","0,170","6,66%","0,131","0,49","2,53","5,73","4,87","3,68","6,73%","0,14%","1,69","7,78%","-0,02%","4.373.280,00","1.596.430.000,00","0,84","0,49%"
PLDN4,"486,00","-553,07","1,08","0,919","0,00%","0,611","1,07","-75,56","3,10","-33,12","-33,12","-1,22%","-0,17%","10,81","-1,27%","-0,20%","0,00","289.939.000,00","0,01","10,26%"
LCSA4,"35,09","-337,52","-228,00","79,738","0,00%","125,308","-202,27","-505,80","-96,61","-506,56","-506,56","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
BHGR3,"19,10","-272,16","1,10","3,613","0,00%","0,855","-194,45","23,70","-8,56","25,95","14,20","15,24%","-1,31%","0,96","3,93%","-0,40%","0,00","1.077.600.000,00","0,20","20,67%"
DMMO3,"1,76","-258,65","-1,72","2,854","0,00%","3,346","11,90","6,37","-1,37","5,90","5,42","44,81%","-1,10%","2,25","70,39%","0,66%","0,00","-553.275.000,00","0,00","-17,37%"
WDCN3,"2,62","-240,97","0,26","0,189","7,25%","0,115","0,50","1,14","-2,14","-0,27","-0,11","16,61%","-0,07%","1,84","12,67%","-0,11%","68.306,90","642.573.000,00","0,00","-6,96%"
RJCP3,"0,01","-224,70","0,65","0,000","0,00%","0,619","0,00","-522,94","0,00","-523,96","-917,32","0,00%","0,00%","0,00","0,00%","-0,29%","0,00","17.287.200,00","0,00","0,00%"
ABYA3,"4,91","-214,80","1,76","2,055","0,00%","0,527","1,98","19,96","-2,75","33,67","33,67","10,29%","-0,96%","2,09","2,78%","-0,82%","0,00","292.060.000,00","1,31","16,41%"
PITI4,"1,28","-204,74","0,00","0,000","0,00%","0,000","0,00","-2.637,65","0,00","-2.637,65","111,07","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","-29,63%"
GOLL4,"0,79","-189,23","-60,87","44,173","0,00%","35,579","-192,97","-2.431,67","-27,99","-2.463,64","405,91","-1,82%","-23,34%","0,63","-1,83%","32,16%","0,00","-15.618.800.000,00","-0,99","31,73%"
